"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"8600000US95615","ZCTA5 95615","384100","197230","null","null",
"8600000US95616","ZCTA5 95616","538200","17529","null","null",
"8600000US95618","ZCTA5 95618","555700","22436","null","null",
"8600000US95619","ZCTA5 95619","202900","26378","null","null",
"8600000US95620","ZCTA5 95620","287700","11833","null","null",
"8600000US95621","ZCTA5 95621","172400","4165","null","null",
"8600000US95623","ZCTA5 95623","338300","42925","null","null",
"8600000US95624","ZCTA5 95624","261900","5384","null","null",
"8600000US95625","ZCTA5 95625","-","**","**","-",
"8600000US95626","ZCTA5 95626","193800","36858","null","null",
"8600000US95627","ZCTA5 95627","211700","18053","null","null",
"8600000US95628","ZCTA5 95628","332200","9878","null","null",
"8600000US95629","ZCTA5 95629","303800","200316","null","null",
"8600000US95630","ZCTA5 95630","385500","7680","null","null",
"8600000US95631","ZCTA5 95631","285200","19091","null","null",
"8600000US95632","ZCTA5 95632","212000","7917","null","null",
"8600000US95633","ZCTA5 95633","266100","24528","null","null",
"8600000US95634","ZCTA5 95634","277300","32630","null","null",
"8600000US95635","ZCTA5 95635","297300","61359","null","null",
