ID,Year,Zipcode,Longitude,Latitude,Income,Age,Population,Num Rooms,House Value
251,2011,91423,-118.42,34.14,73947.0,38.8,30268,4.4,798500.0
252,2011,91436,-118.49,34.15,138676.0,46.0,14294,7.0,1000000.0
253,2011,91501,-118.29,34.19,62051.0,38.1,20860,4.1,625600.0
254,2011,91502,-118.31,34.17,40515.0,36.1,11134,3.1,425000.0
255,2011,91504,-118.33,34.2,71433.0,39.5,25370,4.7,629400.0
256,2011,91505,-118.34,34.17,72924.0,38.0,29835,4.4,573400.0
257,2011,91506,-118.32,34.17,74444.0,40.3,19039,5.2,571400.0
258,2011,91601,-118.37,34.16,49784.0,32.8,35830,3.4,499700.0
259,2011,91602,-118.36,34.15,65475.0,36.0,17342,4.0,683100.0
260,2011,91604,-118.39,34.13,86475.0,39.9,27107,4.6,866300.0
261,2011,91605,-118.39,34.2,42685.0,33.2,54052,4.4,382800.0
262,2011,91606,-118.39,34.18,42191.0,34.2,45897,4.2,409400.0
263,2011,91607,-118.4,34.16,59947.0,38.6,28346,4.0,619400.0
264,2011,91608,-118.35,34.14,67521.99233323270,40.40193697600450,0,5.163962967276100,458794.97705720400
265,2011,91701,-117.61,34.14,80310.0,38.4,40394,6.3,407900.0
266,2011,91702,-117.87,34.28,56190.0,28.7,59967,4.8,353600.0
267,2011,91706,-117.96,34.09,51963.0,30.3,77012,4.9,323600.0
268,2011,91708,-117.64,33.95,125515.0,37.3,3854,7.3,450400.0
269,2011,91709,-117.72,33.94,101905.0,35.5,74765,6.5,536500.0
270,2011,91710,-117.68,34.0,72705.0,32.6,79755,5.8,380600.0
271,2011,91711,-117.71,34.12,82623.0,37.2,35460,5.9,576000.0
272,2011,91722,-117.9,34.09,68267.0,34.5,35400,5.4,373900.0
273,2011,91723,-117.88,34.08,62823.0,33.1,18753,4.9,402100.0
274,2011,91724,-117.84,34.07,81585.0,36.1,24784,5.9,451500.0
275,2011,91730,-117.58,34.09,63151.0,32.6,63925,4.8,328500.0
276,2011,91731,-118.03,34.08,38551.0,33.4,29279,4.3,369900.0
277,2011,91732,-118.01,34.07,44961.0,31.6,62661,4.7,370900.0
278,2011,91733,-118.04,34.04,42191.0,31.3,43459,4.6,371000.0
279,2011,91737,-117.58,34.15,97731.0,36.4,24872,6.6,497400.0
280,2011,91739,-117.51,34.14,101071.0,33.2,34016,6.6,498600.0
281,2011,91740,-117.85,34.11,70673.0,37.8,25235,5.3,421200.0
282,2011,91741,-117.85,34.14,82831.0,41.0,25667,6.2,594300.0
283,2011,91744,-117.93,34.02,55920.0,30.1,83241,5.7,336900.0
284,2011,91745,-117.97,34.0,72601.0,40.8,55723,6.2,483900.0
285,2011,91746,-117.98,34.04,62602.0,32.3,31680,5.7,366200.0
286,2011,91748,-117.9,33.97,62495.0,39.3,47076,5.6,500800.0
287,2011,91750,-117.76,34.15,78455.0,41.0,33800,5.9,492400.0
288,2011,91752,-117.53,33.99,63551.0,31.8,28618,5.6,340600.0
289,2011,91754,-118.14,34.05,51164.0,40.9,32778,4.9,488400.0
290,2011,91755,-118.11,34.05,52458.0,43.5,27442,4.8,483500.0
291,2011,91759,-117.7,34.2,71667.0,50.2,284,4.5,378300.0
292,2011,91761,-117.58,34.02,62191.0,29.9,59903,5.6,316000.0
293,2011,91762,-117.67,34.04,52565.0,30.4,55801,5.0,291300.0
294,2011,91763,-117.7,34.07,51016.0,31.2,36725,5.2,283700.0
295,2011,91764,-117.62,34.07,52115.0,30.2,53055,4.9,269700.0
296,2011,91765,-117.81,33.99,92627.0,40.3,47017,6.3,550100.0
297,2011,91766,-117.75,34.03,50873.0,28.3,70842,4.9,311300.0
298,2011,91767,-117.73,34.08,51336.0,30.7,49461,4.9,299600.0
299,2011,91768,-117.79,34.06,50670.0,26.7,35525,4.7,314500.0
300,2011,91770,-118.08,34.06,49477.0,39.0,61869,4.8,454700.0
301,2011,91773,-117.81,34.1,74351.0,41.5,33269,5.5,454700.0
302,2011,91775,-118.08,34.11,77352.0,41.3,24677,5.6,638800.0
303,2011,91776,-118.09,34.08,52109.0,39.7,37634,4.4,493000.0
304,2011,91780,-118.05,34.1,66750.0,40.2,34139,5.2,580900.0
305,2011,91784,-117.65,34.14,100759.0,43.1,27285,7.0,556700.0
306,2011,91786,-117.66,34.1,55964.0,32.7,50650,4.8,366300.0
307,2011,91789,-117.85,34.01,90637.0,42.2,42292,6.5,612500.0
308,2011,91790,-117.94,34.06,66459.0,35.5,44720,5.5,415400.0
309,2011,91791,-117.89,34.06,72578.0,36.5,32170,5.7,482000.0
310,2011,91792,-117.9,34.02,68682.0,35.8,30560,5.3,389800.0
311,2011,91801,-118.13,34.09,49996.0,38.8,53135,4.3,487100.0
312,2011,91803,-118.14,34.07,57480.0,40.1,30197,4.8,533700.0
313,2011,91901,-116.71,32.8,77064.0,43.4,16606,6.0,553800.0
314,2011,91902,-117.01,32.67,78187.0,42.7,17399,6.7,547200.0
315,2011,91905,-116.31,32.67,80375.0,48.7,955,5.2,338800.0
316,2011,91906,-116.47,32.68,57917.0,33.8,3511,5.4,284100.0
317,2011,91910,-117.05,32.63,56510.0,36.2,71887,4.7,391800.0
318,2011,91911,-117.03,32.61,48386.0,33.8,79518,4.9,335700.0
319,2011,91913,-116.98,32.64,89737.0,32.1,40633,5.9,439800.0
320,2011,91914,-116.94,32.66,105462.0,33.6,16741,6.9,552200.0
321,2011,91915,-116.95,32.62,94812.0,31.0,24329,6.0,402200.0
